conf	year	passcode	resid	ResourceType	ResourceType_clean	resourceName	resourceName_clean	ResourceProdStatus	ResourceProdStatus_clean	ResourceLang_1	ResourceLang_1_clean	ResourceLang_2	ResourceLang_2_clean	ResourceLang_3	ResourceLang_3_clean	ResourceLang_4	ResourceLang_4_clean	ResourceLang_5	ResourceLang_5_clean	ResourceLang_O	ResourceLang_O_clean	langdim
LREC2012	2012	394		"Terminology Tool "		"TermoStat Web 3.0"		Existing-used		LI												Mono
COLING2010	2010	796X-G6C3H3H7B7		Corpus		FrameNet		Existing-used		English												Mono
COLING2010	2010	703X-P6J3H3J4C6		Corpus		"Google V2 and n-gram tools"																"Not Specified"
LREC2010	2010	301X-D5H6D3F8H2		Corpus		"Multi-Annotated Corpus of Answers to Questions, MACAQ"		"Newly created-in progress"		French												Mono
LREC2012	2012	346		Corpus		"Corpus Quaero"		"Newly created-in progress"		Croatian		English										Bi
LREC2010	2010	881X-C4G4B6P3D9		"Grammar/Language Model"		"Cross-Corpus Model"		"Newly created-in progress"		English												Mono
LREC2012	2012	378		Treebank		"Irish Dependency Treebank"		"Newly created-in progress"		American English 		German 										Bi
LREC2010	2010	616X-P6G6E4J5J5		Tagger/Parser		"GATE Morphological Analyser  (part of the GATE system)"		Existing-used		English												Mono
O-COCOSDA2011	2011	8		Corpus		"Malay Emotional Speech Database (MESD)"		"Newly created-finished"		Malay												Mono
LREC2010	2010	553X-H2E8C2D4J9		Corpus		PAROLE		Existing-used		Italian												Mono
COLING2010	2010	486X-H3J6F8G6C9		Lexicon		"Verb Noun List"		"Newly created-in progress"		English												Mono
LREC2010	2010	443X-J6F5P7E9G7		Corpus		"JST scientific paper abstracts"		Existing-used		English		Japanese										Bi
LREC2010	2010	739X-A5C4C7E8G6		Corpus		"A Multi-layered/Multi-representational Treebank for Hindi"		"Newly created-in progress"		Hindi												Mono
LREC2010	2010	547X-B8G5E9D9C3		"Word Sense Disambiguator"		"WordNet Similarity"		Existing-updated		English												Mono
COLING2010	2010	393X-E5H7E9H7J8		Corpus		"German dependency treebank with new automatic features"		Existing-updated		German												Mono
IS2011	2011	48290		Corpus		"LIPS 2008 AV Corpus"		Existing-used		English												Mono
LREC2010	2010	W20_3X-J6C3G9J7B5		Metadata		BAMDES		"Newly created-finished"		Not Applicable												Mono
COLING2010	2010	798X-H2C5E7F5F3		Corpus		"Tagged Medical Forum Data"		"Newly created-finished"		English												Mono
LREC2012	2012	353		Corpus		"Integrated Reference Corpora for Spoken Romance Languages (C-ORAL-ROM)"		Existing-used		English 												Mono
LREC2012	2012	528		"Representation-Annotation Formalism/Guidelines"		"Format for Linguistic Annotation (FoLia)"		"Newly created-in progress"		LI												Mono
LREC2012	2012	684		Corpus		DECODA		"Newly created-in progress"		LI												Mono
LREC2010	2010	742X-J9E7F5A7H2		"paraphraser, composition tool, authoring aid, MT pre-editor, web service"		ReEscreve		"Newly created-in progress"		Portuguese												Mono
LREC2010	2010	W03_6X-G4D3B6A7A9		"Machine Translation tool"		Matxin		Existing-updated		Basque		Spanish										Bi
LREC2010	2010	378X-H6F5E4P5E6		Lexicon		"AEGIR lexicon"		"Newly created-in progress"		English patent domain												Mono
LREC2012	2012	825		Corpus		"A Multiparty Multi-Lingual Chat Corpus for Modeling Social Phenomena in Language (MMPC)"		"Newly created-in progress"		American English 		Mandarin Chinese 		Urdu 								Tri
LREC2010	2010	371X-C6G3A5H8P3		Lexicon/corpus		"Italian Legal FrameNet"		"Newly created-in progress"		Italian												Mono
LREC2010	2010	334X-G6H7F9C3G8		Corpus		"EcoLexicon Corpus"		"Newly created-finished"		English		German		Spanish								Tri
COLING2010	2010	263X-A9H3F7H3A9		"Grammar/Language Model"		"Penn Treebank"		Existing-used		English												Mono
LTC2011	2011	1234-4		"Grammar/Language Model"		myres																"Not Specified"
LREC2012	2012	773		Corpus		"The Nordic Dialect Corpus"		"Newly created-finished"		English 												Mono
COLING2010	2010	578X-A6F8H9C6B6		"Java library for interfacing with Wordnet"		"JWI (the MIT Java Wordnet Interface)"		Existing-used		Not Applicable												Mono
ACLHT2011	2011	594		Corpus		"Deceptive Opinion Spam Corpus v1"		"Newly created-finished"		English												Mono
LREC2010	2010	W06_33X-D6A8P9E4B3		Corpus		"multidisciplinary medical meetings"		"Newly created-in progress"		Not Applicable												Mono
LREC2010	2010	856X-C3B6G3E3H7		Tagger/Parser		IceParser		Existing-used		Icelandic												Mono
LREC2010	2010	342X-H4F2G6B3E3		Corpus		"West African Language Archive (WALA)"		"Newly created-in progress"		Anyi		Baule		Ega		Ibibio		Medefaidrin				Multi
LREC2012	2012	878		"Representation-Annotation Standards/Best Practices"		"ISOcat Data Category Registry (DCR)"		Existing-updated		English												Mono
LREC2010	2010	645X-F2C6J2B6P3		Corpus		"Brown Corpus"		Existing-used		English												Mono
LREC2012	2012	584		Database		"Association Norms"		"Newly created-in progress"		Chinese		English										Bi
LREC2010	2010	472X-A6H6F8J8D5		Tagger/Parser		TreeTagger		Existing-used		English												Mono
LREC2010	2010	935X-E9C8A6H2G6		Corpus		"Penn Discourse Treebank"		"Existing - used, but awaiting further enhancement"		English												Mono
LREC2010	2010	W09_14X-E4B6H3D4A9		"Not Inserted"		SPSS		Existing-used		Not Applicable												Mono
LREC2012	2012	514		"Information Retrieval Tool"		"Lemur Toolkit"		Existing-used		Japanese 												Mono
LREC2012	2012	829		"Software Toolkit"		"an XML Based System For Corpora Development (CLaRK)"		Existing-used		Not Applicable												Mono
LREC2010	2010	458X-E6J6J7J3E2		"Sentence splitter"		TTL		Existing-used		English		French		Romanian								Tri
LREC2012	2012	229		Corpus		"Estonian reference Corpus"		Existing-updated		Icelandic												Mono
COLING2010	2010	428X-A4D8H9B6A9		Tagger/Parser		"Bikel parser"																"Not Specified"
LREC2010	2010	109X-J2F9D6J6C7		"Morphological Analyzer"		TRmorph		"Newly created-finished"		Turkish												Mono
LREC2010	2010	730X-C3B6F7P5F6		Corpus		"Penn TreeBank"		Existing-used		English												Mono
LREC2010	2010	99X-G4H6C5H9G2		Corpus		"Corpus of Spontaneous Japanese"		Existing-used		Japanese												Mono
ACLHT2011	2011	301		Tagger/Parser		"Charniak parser"		Existing-used		Not Applicable												Mono
COLING2010	2010	870X-C4C6B4A6H9		Corpus		"Chinese Treebank 5.1"		Existing-used		Chinese												Mono
LREC2010	2010	788X-D8B2B6P2P2		Corpus		"The German-Russian Parallel Corpus of Sigmund Freudâ€™s â€žThe Interpretation of Dreamsâ€œ"		"Newly created-in progress"		English		German		Russian								Tri
